"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
589,07010402603 PRAHLAD PUR GIRLS,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Rural Girls only,0,,913,913,0,,19 19,14
590,07010402604 SECTOR-26 ROHINI,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Urban Co-Educational,160,,145,305,0,,6 6,6
591,07010402605 SHAHBAD DAIRY B-BLOCK 1,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Urban Girls only,0,,1545,1545,2,,31 33,22
592,07010402601 SHAHBAD DAIRY B-BLOCK 11,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Urban Boys only,1253,,0,1253,17,,8 25,22
593,07010402606 SHAHBAD DAIRY NEW,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Urban Co-Educational,1137,,1020,2157,9,,44 53,47
594,07010402608 SHAHBAD DAIRY-1,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Urban Girls only,0,,824,824,1,,20 21,17
595,07010402607 SHAHBAD DAIRY-11,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Rural Boys only,899,,0,899,16,,5 21,19
596,"07010402609 SHAHBAD DAULATPUR,GIRLS",026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Rural Girls only,0,,426,426,0,,11 11,10
597,07010402610 SHAHBAD DAULATPUR.BOYS,026-SAHIBABAD DAULPArTimPaUryR,,,Local body,,Rural Boys only,391,,0,391,6,,5 11,8
598,07010402701 BARWALA,027-BEGUMPUR Primary,,,Local body,,Rural Co-Educational,214,,194,408,2,,9 11,10
599,07010402703 BEGUM PUR -I,027-BEGUMPUR Primary,,,Local body,,Rural Girls only,0,,1362,1362,1,,32 33,26
600,07010402702 BEGUM PUR -II,027-BEGUMPUR Primary,,,Local body,,Rural Boys only,1100,,0,1100,14,,11 25,24
"",School,,,School,School,,Location &,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,,
601,07010402708 CHAND PUR,027-BEGUMPUR,Primary,,Local body,,Rural Co-Educational,29,33,62,1,,2 3,,5
602,07010402710 POOTH KHURD NEW,027-BEGUMPUR,Primary,,Local body,,Rural Co-Educational,311,285,596,2,,13 15,,7
603,07010402711 POOTH KHURD OLD,027-BEGUMPUR,Primary,,Local body,,Rural Co-Educational,246,191,437,3,,8 11,,10
604,07010402707 PUNJAB KHOR,027-BEGUMPUR,Primary,,Local body,,Rural Co-Educational,132,140,272,4,,4 8,,6
605,07010402705 RAJEEV NAGAR -I,027-BEGUMPUR,Primary,,Local body,,Rural Girls only,0,1022,1022,1,,20 21,,13
606,07010402704 RAJEEV NAGAR -II,027-BEGUMPUR,Primary,,Local body,,Urban Boys only,719,0,719,10,,7 17,,15
607,07010402706 SALAH PUR MAJRA -B,027-BEGUMPUR,Primary,,Local body,,Rural Co-Educational,43,66,109,1,,2 3,,5
608,07010402712 SHAKURPUR VILL. I,027-BEGUMPUR,Primary,,Local body,,Rural Girls only,0,480,480,0,,13 13,,10
609,07010402709 SULTAN PUR (NARELA ZONE),027-BEGUMPUR,Primary,,Local body,,Rural Co-Educational,92,67,159,3,,3 6,,5
610,07010402819 AUCHANDI BOYS,028-BAWANA,Primary,,Local body,,Rural Boys only,121,0,121,1,,4 5,,5
611,07010402818 AUCHANDI GIRLS,028-BAWANA,Primary,,Local body,,Rural Girls only,0,116,116,1,,5 6,,5
612,07010402822 BAJEET PUR BOYS,028-BAWANA,Primary,,Local body,,Rural Boys only,122,0,122,3,,0 3,,5
613,07010402821 BAJEET PUR GIRLS,028-BAWANA,Primary,,Local body,,Rural Girls only,0,143,143,0,,6 6,,7
614,07010402802 BAWANA JJ COLONY B1-I,028-BAWANA,Primary,,Local body,,Urban Girls only,0,553,553,0,,13 13,,11
615,07010402801 BAWANA JJ COLONY B1-II,028-BAWANA,Primary,,Local body,,Rural Boys only,539,0,539,13,,0 13,,11
616,07010402807 BAWANA JJ COLONY B2-I,028-BAWANA,Primary,,Local body,,Rural Girls only,0,436,436,2,,10 12,,9
617,07010402806 BAWANA JJ COLONY B2-II,028-BAWANA,Primary,,Local body,,Rural Boys only,519,0,519,6,,6 12,,10
618,07010402810 BAWANA JJ COLONY E3-I,028-BAWANA,Primary,,Local body,,Urban Girls only,0,716,716,0,,15 15,,10
619,07010402805 BAWANA JJ COLONY E3-II,028-BAWANA,Primary,,Local body,,Rural Boys only,776,0,776,11,,3 14,,10
620,07010402804 BAWANA JJ COLONY E4-I,028-BAWANA,Primary,,Local body,,Urban Girls only,0,1023,1023,4,,13 17,,9
621,07010402809 BAWANA JJ COLONY E4-II,028-BAWANA,Primary,,Local body,,Urban Boys only,840,0,840,14,,4 18,,11
622,07010402808 BAWANA JJ COLONY E5-I,028-BAWANA,Primary,,Local body,,Urban Girls only,0,982,982,4,,14 18,,10
623,07010402803 BAWANA JJ COLONY E5-II,028-BAWANA,Primary,,Local body,,Urban Boys only,852,0,852,16,,2 18,,9
624,07010402829 BAWANA NEW BOYS,028-BAWANA,Primary,,Local body,,Rural Boys only,235,0,235,3,,2 5,,5
625,07010402828 BAWANA NEW GIRLS,028-BAWANA,Primary,,Local body,,Rural Girls only,0,220,220,0,,6 6,,5
626,07010402831 BAWANA OLD BOYS,028-BAWANA,Primary,,Local body,,Rural Boys only,787,0,787,5,,15 20,,17
627,07010402830 BAWANA OLD GIRLS,028-BAWANA,Primary,,Local body,,Urban Girls only,0,584,584,0,,16 16,,13
628,07010402826 DARIYA PUR BOYS,028-BAWANA,Primary,,Local body,,Rural Boys only,131,0,131,3,,1 4,,5
629,07010402825 DARIYA PUR GIRLS,028-BAWANA,Primary,,Local body,,Rural Girls only,0,129,129,1,,3 4,,5
630,07010402820 HARWALI,028-BAWANA,Primary,,Local body,,Rural Co-Educational,89,79,168,4,,2 6,,5
631,07010402827 ISHWAR COLONY,028-BAWANA,Primary,,Local body,,Urban Co-Educational,312,276,588,13,,5 18,,15
632,07010402811 JAT KHOR,028-BAWANA,Primary,,Local body,,Rural Co-Educational,49,38,87,1,,3 4,,4
"",School,,,School,School,,Location  &,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,,
633,07010402813 KATEWARA BOYS,028-BAWANA Primary,,,Local body,,Rural Co-Educational,61,66,127,3,,2 5,,5
634,07010402817 MUNGESH PUR BOYS,028-BAWANA Primary,,,Local body,,Rural Boys only,139,0,139,1,,3 4,,5
635,07010402816 MUNGESH PUR GIRLS,028-BAWANA Primary,,,Local body,,Rural Girls only,0,140,140,0,,5 5,,5
636,07010402824 NANGAL THAKRAN BOYS,028-BAWANA Primary,,,Local body,,Rural Boys only,117,0,117,0,,3 3,,0
637,07010402823 NANGAL THAKRAN GIRLS,028-BAWANA Primary,,,Local body,,Rural Girls only,0,110,110,0,,4 4,,5
638,07010402815 QUTUB GARH BOYS,028-BAWANA Primary,,,Local body,,Urban Boys only,190,0,190,3,,2 5,,5
639,07010402814 QUTUB GARH GIRLS,028-BAWANA Primary,,,Local body,,Rural Girls only,0,160,160,0,,5 5,,5
640,07010402901 HIRANKI,029-KARALA Primary,,,Local body,,Rural Co-Educational,88,86,174,2,,3 5,,5
641,07010402907 JAUNTI,029-KARALA Primary,,,Local body,,Rural Co-Educational,83,53,136,1,,3 4,,5
642,07010402905 JHEEMAR PURA,029-KARALA Primary,,,Local body,,Rural Co-Educational,32,19,51,2,,0 2,,5
643,07010402911 KANJHAWALA BOYS,029-KARALA Primary,,,Local body,,Urban Boys only,306,0,306,3,,7 10,,10
644,07010402910 KANJHAWALA GIRLS,029-KARALA Primary,,,Local body,,Urban Co-Educational,0,349,349,0,,12 12,,10
645,07010402904 KARALA BOYS,029-KARALA Primary,,,Local body,,Rural Boys only,482,0,482,8,,6 14,,12
646,07010402903 KARALA GIRLS,029-KARALA Primary,,,Local body,,Urban Girls only,0,869,869,0,,21 21,,19
647,07010402909 LAD PUR BOYS,029-KARALA Primary,,,Local body,,Urban Boys only,138,0,138,2,,2 4,,5
648,07010402908 LAD PUR GIRLS,029-KARALA Primary,,,Local body,,Urban Girls only,0,157,157,0,,6 6,,5
649,07010402902 MOHAMMAD PUR MAJRA,029-KARALA Primary,,,Local body,,Rural Boys only,255,0,255,1,,6 7,,8
650,07010402906 TATESAR,029-KARALA Primary,,,Local body,,Rural Co-Educational,63,54,117,2,,3 5,,4
651,07010403001 GARHI RANDHELA,030-MUNDKA Primary,,,Local body,,Rural Co-Educational,26,36,62,2,,0 2,,5
652,07010403003 MUBARIK PUR -I,030-MUNDKA Primary,,,Local body,,Rural Girls only,0,1717,1717,3,,9 12,,26
653,07010403002 MUBARIK PUR -II,030-MUNDKA Primary,,,Local body,,Rural Boys only,1511,0,1511,25,,0 25,,28
654,07010403301 PREM NAGAR (ROHINI ZONE),033-PRATAP VIHAR Primary,,,Local body,,Rural Girls only,0,1622,1622,10,,20 30,,18
655,07010403402 NITHARI -I,034-NITHARI Primary,,,Local body,,Rural Girls only,0,1662,1662,16,,17 33,,34
656,07010403401 NITHARI -II,034-NITHARI Primary,,,Local body,,Rural Boys only,1606,0,1606,24,,3 27,,28
657,07010403502 KIRARI I,035-KIRARI SULEMANP NriGmRary,,,Local body,,Urban Girls only,0,1821,1821,19,,23 42,,49
658,07010403501 KIRARI II,035-KIRARI SULEMANP NriGmRary,,,Local body,,Rural Boys only,1382,0,1382,25,,0 25,,50
659,07010403703 SULTAN PURI A2 -I,037-SULTANPURI EASPTrimary,,,Local body,,Urban Girls only,0,404,404,5,,8 13,,10
660,07010403702 SULTAN PURI A2 -II,037-SULTANPURI EASPTrimary,,,Local body,,Urban Boys only,353,0,353,10,,0 10,,10
661,07010403713 SULTAN PURI A-I,037-SULTANPURI EASPTrimary,,,Local body,,Urban Girls only,0,382,382,1,,9 10,,11
662,07010403712 SULTAN PURI A-II,037-SULTANPURI EASPTrimary,,,Local body,,Urban Boys only,316,0,316,9,,0 9,,15
663,07010403709 SULTAN PURI B2 -I,037-SULTANPURI EASPTrimary,,,Local body,,Urban Girls only,0,343,343,3,,6 9,,8
664,07010403708 SULTAN PURI B2 -II,037-SULTANPURI EASPTrimary,,,Local body,,Urban Boys only,364,0,364,10,,0 10,,10
"",School,,School,School,,Location  &,,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,,Category,Management,,Type of School,,,,,,,,,rooms
"",,,,,,,Boys,,Girls,Total,Male,,Female Total,,
"",Block Code  & Name: 070104,MCD,,Total Schools in this block :,443,,,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,,,
665,07010403711 SULTAN PURI B-I,037-SULTANPURI EASPTrimary,,Local body,,Urban Girls only,0,,342,342,1,,6 7,,16
666,07010403710 SULTAN PURI B-II,037-SULTANPURI EASPTrimary,,Local body,,Urban Boys only,327,,0,327,8,,0 8,,8
667,07010403707 SULTAN PURI C4-I,037-SULTANPURI EASPTrimary,,Local body,,Urban Girls only,0,,889,889,7,,15 22,,23
668,07010403706 SULTAN PURI C4-II,037-SULTANPURI EASPTrimary,,Local body,,Urban Boys only,698,,0,698,17,,0 17,,16
669,07010403705 SULTAN PURI C6-I,037-SULTANPURI EASPTrimary,,Local body,,Urban Girls only,0,,510,510,7,,7 14,,12
670,07010403704 SULTAN PURI C6-II,037-SULTANPURI EASPTrimary,,Local body,,Urban Boys only,425,,0,425,10,,1 11,,10
671,07010403701 SULTAN PURI P4-II,037-SULTANPURI EASPTrimary,,Local body,,Rural Boys only,1333,,0,1333,26,,1 27,,23
672,07010403807 MANGOL PURI H BLK,038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Co-Educational,496,,436,932,9,,14 23,,20
673,07010403806 MANGOL PURI J-I,038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Girls only,0,,460,460,3,,10 13,,12
674,07010403805 MANGOL PURI J-II,038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Boys only,415,,0,415,11,,1 12,,20
675,07010403802 MANGOL PURI Y2-I,038-MANGOLPURI NOPRrTimHary,,Local body,,Rural Girls only,0,,347,347,1,,10 11,,15
676,07010403801 MANGOL PURI Y2-II,038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Boys only,425,,0,425,7,,5 12,,14
677,07010403804 MANGOL PURI Y-I,038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Girls only,0,,562,562,4,,13 17,,18
678,07010403803 MANGOL PURI Y-II,038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Boys only,497,,0,497,8,,4 12,,15
679,"07010403809 P-1, SULTAN PURI I",038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Girls only,0,,734,734,6,,14 20,,17
680,"07010403808 P-1, SULTAN PURI II",038-MANGOLPURI NOPRrTimHary,,Local body,,Urban Boys only,869,,0,869,15,,0 15,,22
681,07010403904 SULTAN PURI D-I,039-SULTANPUR MAJPRrAimary,,Local body,,Urban Girls only,0,,753,753,4,,14 18,,17
682,07010403903 SULTAN PURI D-II,039-SULTANPUR MAJPRrAimary,,Local body,,Urban Boys only,682,,0,682,11,,2 13,,11
683,07010403902 SULTAN PURI E-I,039-SULTANPUR MAJPRrAimary,,Local body,,Urban Girls only,0,,1208,1208,12,,15 27,,30
684,07010403901 SULTAN PURI P4-I,039-SULTANPUR MAJPRrAimary,,Local body,,Urban Girls only,0,,1136,1136,12,,18 30,,24
685,07010404002 RAJ PARK I,040-SULTANPURI SOUPTriHmary,,Local body,,Urban Girls only,0,,169,169,3,,2 5,,5
686,07010404001 RAJ PARK II,040-SULTANPURI SOUPTriHmary,,Local body,,Urban Boys only,152,,0,152,5,,0 5,,5
687,07010404007 SULTAN PUR MAJRA,040-SULTANPURI SOUPTriHmary,,Local body,,Urban Co-Educational,220,,165,385,8,,0 8,,7
688,07010404006 SULTAN PURI F-I,040-SULTANPURI SOUPTriHmary,,Local body,,Urban Girls only,0,,939,939,0,,21 21,,14
689,07010404005 SULTAN PURI F-II,040-SULTANPURI SOUPTriHmary,,Local body,,Urban Boys only,849,,0,849,19,,0 19,,24
690,07010404004 SULTAN PURI G-I,040-SULTANPURI SOUPTriHmary,,Local body,,Urban Girls only,0,,1108,1108,11,,15 26,,22
691,07010404003 SULTAN PURI G-II,040-SULTANPURI SOUPTriHmary,,Local body,,Urban Boys only,1178,,0,1178,25,,0 25,,25
692,07010404401 SULTAN PURI E-II,044-QUAMMRUDDIN NPGriRmary,,Local body,,Urban Boys only,1227,,0,1227,25,,1 26,,28
693,07010404502 AVANTIKA I,045-ROHINI SOUTH Primary,,Local body,,Urban Girls only,0,,458,458,0,,15 15,,12
694,07010404501 AVANTIKA II,045-ROHINI SOUTH Primary,,Local body,,Urban Boys only,377,,0,377,5,,8 13,,10
695,"07010404506 SEC-3A, ROHINI",045-ROHINI SOUTH Primary,,Local body,,Urban Co-Educational,350,,211,561,2,,12 14,,12
696,"07010404505 SEC-3B, ROHINI",045-ROHINI SOUTH Primary,,Local body,,Urban Co-Educational,240,,208,448,0,,13 13,,10
"",School,,,School,School,,Location  &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,,Category,Management,,Type of School,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,,Total Schools in this block :,443,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,,
697,"07010404504 SEC-3C, ROHINI",045-ROHINI SOUTH Primary,,,Local body,,Urban Co-Educational,230,177,407,1,,10 11,11
698,"07010404503 SEC-3F & G, ROHINI",045-ROHINI SOUTH Primary,,,Local body,,Urban Co-Educational,401,255,656,2,,16 18,22
699,"07010404508 SEC-4 I,ROHINI",045-ROHINI SOUTH Primary,,,Local body,,Urban Girls only,0,934,934,0,,24 24,21
700,"07010404507 SEC-4 II, ROHINI",045-ROHINI SOUTH Primary,,,Local body,,Urban Boys only,946,0,946,3,,18 21,24
701,07010404606 MANGOL PURI A-I,046-MANGOLPURI EASPTrimary,,,Local body,,Rural Girls only,0,477,477,0,,15 15,13
702,07010404605 MANGOL PURI A-II,046-MANGOLPURI EASPTrimary,,,Local body,,Urban Boys only,488,0,488,11,,1 12,12
703,07010404604 MANGOL PURI C-I,046-MANGOLPURI EASPTrimary,,,Local body,,Urban Girls only,0,712,712,0,,19 19,17
704,07010404603 MANGOL PURI C-II,046-MANGOLPURI EASPTrimary,,,Local body,,Urban Boys only,778,0,778,16,,1 17,24
705,07010404602 MANGOL PURI E-II,046-MANGOLPURI EASPTrimary,,,Local body,,Urban Boys only,363,0,363,8,,0 8,15
706,07010404601 MANGOL PURI F-I,046-MANGOLPURI EASPTrimary,,,Local body,,Urban Girls only,0,705,705,0,,19 19,18
707,07010404711 MANGOL PURI E-I,047-MANGOLPURI Primary,,,Local body,,Urban Girls only,0,433,433,1,,13 14,11
708,07010404710 MANGOL PURI F-II,047-MANGOLPURI Primary,,,Local body,,Urban Boys only,679,0,679,13,,2 15,15
709,07010404713 MANGOLPUR KALAN BOYS,047-MANGOLPURI Primary,,,Local body,,Urban Boys only,384,0,384,2,,9 11,10
710,07010404712 MANGOLPUR KALAN GIRLS,047-MANGOLPURI Primary,,,Local body,,Urban Girls only,0,357,357,0,,15 15,10
711,07010404709 MANGOLPURI K-I,047-MANGOLPURI Primary,,,Local body,,Urban Girls only,0,410,410,4,,6 10,14
712,07010404708 MANGOLPURI K-II,047-MANGOLPURI Primary,,,Local body,,Urban Boys only,345,0,345,9,,0 9,8
713,07010404707 MANGOLPURI L-I,047-MANGOLPURI Primary,,,Local body,,Urban Girls only,0,522,522,2,,13 15,18
714,07010404706 MANGOLPURI L-II,047-MANGOLPURI Primary,,,Local body,,Urban Boys only,580,0,580,13,,0 13,15
715,07010404705 MANGOLPURI M-I,047-MANGOLPURI Primary,,,Local body,,Urban Girls only,0,407,407,0,,11 11,10
716,07010404704 MANGOLPURI M-II,047-MANGOLPURI Primary,,,Local body,,Urban Boys only,333,0,333,7,,0 7,17
717,07010404703 MANGOLPURI O-I,047-MANGOLPURI Primary,,,Local body,,Urban Girls only,0,434,434,1,,11 12,11
718,07010404702 MANGOLPURI O-II,047-MANGOLPURI Primary,,,Local body,,Urban Boys only,407,0,407,8,,0 8,12
719,07010404701 MANGOLPURI X,047-MANGOLPURI Primary,,,Local body,,Urban Co-Educational,241,191,432,7,,4 11,10
720,07010404810 MANGOLPURI P-II,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Boys only,401,0,401,10,,1 11,17
721,07010404809 MANGOLPURI Q-I,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Co-Educational,0,439,439,2,,8 10,11
722,07010404808 MANGOLPURI Q-II,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Boys only,437,0,437,12,,1 13,11
723,07010404807 MANGOLPURI R-I,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Girls only,0,378,378,3,,6 9,12
724,07010404806 MANGOLPURI R-II,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Boys only,338,0,338,6,,2 8,14
725,07010404803 MANGOLPURI S-I,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Girls only,0,434,434,5,,7 12,14
726,07010404802 MANGOLPURI S-II,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Boys only,442,0,442,11,,0 11,10
727,07010404805 MANGOLPURI T-I,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Girls only,0,401,401,0,,12 12,14
728,07010404804 MANGOLPURI T-II,048-MANGOLPURI WEPSriTmary,,,Local body,,Urban Boys only,371,0,371,10,,0 10,10
"",School,,School,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,Total Schools in this block :,443,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,
729,"07010404801 MANGOLPURI, BLOCK-U",048-MANGOLPURI WEPSriTmary,,Local body,,Urban Co-Educational,308,251,559,6,,6 12,14
730,07010404905 PRASHANT VIHAR,049-ROHINI NORTH Primary,,Local body,,Urban Co-Educational,301,215,516,0,,16 16,14
731,07010404901 ROHINI SEC.-27,049-ROHINI NORTH Primary,,Local body,,Urban Co-Educational,318,361,679,12,,2 14,9
732,"07010404903 SEC-15C, ROHINI",049-ROHINI NORTH Primary,,Local body,,Urban Co-Educational,327,220,547,0,,15 15,21
733,"07010404902 SEC-15F, ROHINI",049-ROHINI NORTH Primary,,Local body,,Urban Co-Educational,230,162,392,0,,13 13,11
734,07010404904 SEC-18 ROHINI,049-ROHINI NORTH Primary,,Local body,,Urban Co-Educational,884,889,1773,1,,45 46,37
735,"07010405001 SEC-13, ROHINI",050-ROHINI CENTRALPrimary,,Local body,,Urban Co-Educational,261,166,427,0,,13 13,11
736,"07010405002 SEC-9, ROHINI",050-ROHINI CENTRALPrimary,,Local body,,Urban Co-Educational,346,332,678,0,,19 19,10
737,"07010405101 SEC-8, ROHINI",051-ROHINI EAST Primary,,Local body,,Urban Co-Educational,257,193,450,1,,13 14,8
738,"07010405202 NAHARPUR, ROHINI",052-NAHARPUR Primary,,Local body,,Urban Co-Educational,378,338,716,3,,17 20,14
739,07010405201 RAZAPUR VILL.,052-NAHARPUR Primary,,Local body,,Urban Co-Educational,285,257,542,0,,16 16,12
740,"07010405204 SEC-7A, ROHINI",052-NAHARPUR Primary,,Local body,,Urban Co-Educational,276,227,503,1,,16 17,13
741,"07010405203 SEC-7B, ROHINI",052-NAHARPUR Primary,,Local body,,Urban Co-Educational,309,200,509,0,,15 15,8
742,07010405303 CP PITAMPURA,053-PITAM PURA (SOUPTriHmary,,Local body,,Urban Co-Educational,243,159,402,0,,14 14,11
743,07010405302 GP PITAMPURA,053-PITAM PURA (SOUPTriHmary,,Local body,,Urban Co-Educational,359,355,714,0,,22 22,18
744,07010405301 SP PITAMPURA,053-PITAM PURA (SOUPTriHmary,,Local body,,Urban Co-Educational,282,293,575,0,,15 15,14
745,07010405403 ED PITAMPURA,054-PITAMPURA (NORPTrHimary,,Local body,,Urban Co-Educational,150,129,279,0,,6 6,5
746,07010405406 EU PITAMPURA,054-PITAMPURA (NORPTrHimary,,Local body,,Urban Co-Educational,212,117,329,0,,8 8,8
747,07010405401 HAIDERPUR BOYS,054-PITAMPURA (NORPTrHimary,,Local body,,Rural Boys only,960,0,960,10,,7 17,36
748,07010405402 HAIDERPUR I,054-PITAMPURA (NORPTrHimary,,Local body,,Urban Girls only,0,1245,1245,0,,31 31,32
749,07010405404 HU PITAMPURA,054-PITAMPURA (NORPTrHimary,,Local body,,Urban Co-Educational,180,130,310,0,,8 8,6
750,07010405407 LU BLK PITAMPURA,054-PITAMPURA (NORPTrHimary,,Local body,,Urban Co-Educational,117,84,201,0,,6 6,6
751,07010405405 UU BLK PITAMPURA,054-PITAMPURA (NORPTrHimary,,Local body,,Urban Co-Educational,135,93,228,0,,6 6,9
752,07010405507 BG SHALIMAR BAGH,055-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,257,218,475,0,,13 13,12
753,07010405503 JJ HAIDERPUR,055-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,754,420,1174,3,,22 25,22
754,07010405504 SAHIPUR VILL.,055-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,370,359,729,1,,18 19,16
755,07010405502 SHALAMAR VILL. I,055-SHALIMAR BAGH Primary,,Local body,,Urban Girls only,0,652,652,0,,17 17,11
756,07010405501 SHALAMAR VILL. II,055-SHALIMAR BAGH Primary,,Local body,,Urban Boys only,645,0,645,1,,7 8,12
757,07010405505 SHALIMAR BAGH BB BLOCK,055-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,627,438,1065,4,,22 26,28
758,07010405506 U & V SHALIMAR BAGH,055-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,93,66,159,0,,5 5,5
759,07010405601 AC SHALIMAR BAGH,056-SHALIMAR BAGH Primary,,Local body,,Urban Boys only,359,0,359,6,,6 12,10
760,07010405604 BK-2 SHALIMAR BAGH,056-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,338,267,605,1,,13 14,16
"",School,,School,School,,Location  &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070104,MCD,,Total Schools in this block :,443,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,
761,"07010405605 BT BLK, SHALIMAR BAGH",056-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,435,355,790,0,,18 18,18
762,07010405606 SHALIMAR BAGH AB,056-SHALIMAR BAGH Primary,,Local body,,Urban Girls only,0,219,219,1,,5 6,5
763,07010405602 SHALIMAR BAGH AG,056-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,318,338,656,1,,18 19,14
764,07010405603 SHALIMAR BAGH AK,056-SHALIMAR BAGH Primary,,Local body,,Urban Co-Educational,158,136,294,0,,7 7,7
765,07010405902 RANI BAGH BOYS,059-RANI BAGH Primary,,Local body,,Urban Boys only,625,0,625,5,,14 19,15
766,07010405901 RANI BAGH GIRLS,059-RANI BAGH Primary,,Local body,,Urban Girls only,0,593,593,0,,14 14,21
767,07010406001 SARASWATI VIHAR,060-SARASWATI VIHAPRrimary,,Local body,,Urban Co-Educational,289,222,511,0,,18 18,29
768,"07010406101 DEVA RAM PARK, TRINAGAR",061-TRINAGAR Primary,,Local body,,Urban Co-Educational,470,327,797,1,,17 18,31
769,07010406104 GANESH PURA,061-TRINAGAR Primary,,Local body,,Urban Co-Educational,258,187,445,1,,12 13,10
770,07010406105 JAI MATA MARKET,061-TRINAGAR Primary,,Local body,,Urban Co-Educational,324,282,606,0,,14 14,15
771,07010406103 ONKAR NAGAR A-I,061-TRINAGAR Primary,,Local body,,Urban Girls only,0,154,154,0,,5 5,5
772,07010406102 ONKAR NAGAR A-II,061-TRINAGAR Primary,,Local body,,Urban Boys only,129,0,129,2,,1 3,5
773,07010406208 ASHOKA PARK MAIN,062-RAM PURA Primary,,Local body,,Urban Co-Educational,95,71,166,1,,6 7,5
774,07010406207 HARYANA POWER HOUSE,062-RAM PURA Primary,,Local body,,Urban Co-Educational,104,87,191,1,,4 5,5
775,07010406206 HARYANA POWER HOUSE NEW,062-RAM PURA Primary,,Local body,,Urban Co-Educational,97,84,181,4,,2 6,5
776,07010406205 RAMAPURA,062-RAM PURA Primary,,Local body,,Urban Co-Educational,427,353,780,3,,12 15,16
777,07010406201 SHAKURPUR VILL. II,062-RAM PURA Primary,,Local body,,Urban Boys only,537,0,537,4,,7 11,12
778,07010406202 SRI NAGAR NEW,062-RAM PURA Primary,,Local body,,Rural Co-Educational,329,238,567,0,,17 17,14
779,07010406204 SRI NAGAR OLD I,062-RAM PURA Primary,,Local body,,Urban Girls only,0,517,517,0,,10 10,11
780,07010406203 SRI NAGAR OLD II,062-RAM PURA Primary,,Local body,,Urban Boys only,513,0,513,10,,2 12,13
781,07010406302 HARSH VIHAR,063-KOHAT ENCLAVEPrimary,,Local body,,Urban Co-Educational,234,198,432,0,,15 15,11
782,07010406301 PITAMPURA VILL.,063-KOHAT ENCLAVEPrimary,,Local body,,Urban Co-Educational,282,236,518,0,,17 17,14
